date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:34:00	67528/67528	---M--	200	added ('OK')	font/x-woff	etag:%227fe47f1dcffed21:0%22	http://www.vnkarazinkharkivnationaluniversity.com/font/opensans-regular_0.woff	C:/Users/Priyansh/Desktop/ersuge/www.vnkarazinkharkivnationaluniversity.com/font/opensans-regular_0.woff	(from http://www.vnkarazinkharkivnationaluniversity.com/css/style.css)
23:34:02	150916/150916	---M--	200	added ('OK')	application/octet-stream	etag:%22162e451ccffed21:0%22	http://www.vnkarazinkharkivnationaluniversity.com/font/LatoLatin-Semibold.ttf	C:/Users/Priyansh/Desktop/ersuge/www.vnkarazinkharkivnationaluniversity.com/font/LatoLatin-Semibold.ttf	(from http://www.vnkarazinkharkivnationaluniversity.com/css/style.css)
23:34:05	42581/42581	---M--	200	added ('OK')	image/png	etag:%221733da20cffed21:0%22	http://www.vnkarazinkharkivnationaluniversity.com/images/logo.png	C:/Users/Priyansh/Desktop/ersuge/www.vnkarazinkharkivnationaluniversity.com/images/logo.png	(from http://www.vnkarazinkharkivnationaluniversity.com/)
23:34:27	69884/69884	---M--	200	added ('OK')	font/x-woff	etag:%22a0c7451ecffed21:0%22	http://www.vnkarazinkharkivnationaluniversity.com/font/opensans-semibold_0.woff	C:/Users/Priyansh/Desktop/ersuge/www.vnkarazinkharkivnationaluniversity.com/font/opensans-semibold_0.woff	(from http://www.vnkarazinkharkivnationaluniversity.com/css/style.css)
23:34:28	114556/114556	---M--	200	added ('OK')	application/octet-stream	etag:%221aea31dcffed21:0%22	http://www.vnkarazinkharkivnationaluniversity.com/font/opensans-regular_0.ttf	C:/Users/Priyansh/Desktop/ersuge/www.vnkarazinkharkivnationaluniversity.com/font/opensans-regular_0.ttf	(from http://www.vnkarazinkharkivnationaluniversity.com/css/style.css)
23:34:40	118754/118754	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223c31ad1dcffed21:0%22	http://www.vnkarazinkharkivnationaluniversity.com/font/opensans-semibold_0.eot	C:/Users/Priyansh/Desktop/ersuge/www.vnkarazinkharkivnationaluniversity.com/font/opensans-semibold_0.eot	(from http://www.vnkarazinkharkivnationaluniversity.com/css/style.css)
23:34:48	3020/3020	---M--	200	added ('OK')	image/png	etag:%22dd992522cffed21:0%22	http://www.vnkarazinkharkivnationaluniversity.com/images/top-mail.png	C:/Users/Priyansh/Desktop/ersuge/www.vnkarazinkharkivnationaluniversity.com/images/top-mail.png	(from http://www.vnkarazinkharkivnationaluniversity.com/css/style.css)
23:34:53	5646/5646	---M--	200	added ('OK')	image/png	etag:%22d0721e22cffed21:0%22	http://www.vnkarazinkharkivnationaluniversity.com/images/top-call.png	C:/Users/Priyansh/Desktop/ersuge/www.vnkarazinkharkivnationaluniversity.com/images/top-call.png	(from http://www.vnkarazinkharkivnationaluniversity.com/css/style.css)
23:35:04	10057/10057	---M--	200	added ('OK')	image/jpeg	etag:%22fe165720cffed21:0%22	http://www.vnkarazinkharkivnationaluniversity.com/images/form-bg.jpg	C:/Users/Priyansh/Desktop/ersuge/www.vnkarazinkharkivnationaluniversity.com/images/form-bg.jpg	(from http://www.vnkarazinkharkivnationaluniversity.com/css/style.css)
23:35:05	118548/118548	---M--	200	added ('OK')	application/octet-stream	etag:%226d4221ecffed21:0%22	http://www.vnkarazinkharkivnationaluniversity.com/font/opensans-semibold_0.ttf	C:/Users/Priyansh/Desktop/ersuge/www.vnkarazinkharkivnationaluniversity.com/font/opensans-semibold_0.ttf	(from http://www.vnkarazinkharkivnationaluniversity.com/css/style.css)
23:35:11	1551/1551	---M--	200	added ('OK')	image/png	etag:%224120c720cffed21:0%22	http://www.vnkarazinkharkivnationaluniversity.com/images/head-arrow.png	C:/Users/Priyansh/Desktop/ersuge/www.vnkarazinkharkivnationaluniversity.com/images/head-arrow.png	(from http://www.vnkarazinkharkivnationaluniversity.com/css/style.css)
23:35:14	3711/3711	---M--	200	added ('OK')	image/png	etag:%2265a26b21cffed21:0%22	http://www.vnkarazinkharkivnationaluniversity.com/images/refresh.png	C:/Users/Priyansh/Desktop/ersuge/www.vnkarazinkharkivnationaluniversity.com/images/refresh.png	(from http://www.vnkarazinkharkivnationaluniversity.com/css/style.css)
23:35:18	1022/1022	---M--	200	added ('OK')	image/png	etag:%22ab4c81fcffed21:0%22	http://www.vnkarazinkharkivnationaluniversity.com/images/dot.png	C:/Users/Priyansh/Desktop/ersuge/www.vnkarazinkharkivnationaluniversity.com/images/dot.png	(from http://www.vnkarazinkharkivnationaluniversity.com/css/style.css)
